"Length","Year","Frequency"
25,1994,0
40,1994,0.136374377624932
50,1994,0.68187188812466
60,1994,2.55853786903247
65,1994,1.14790774410012
70,1994,6.4621171828552
75,1994,4.20897363864689
80,1994,12.7822151764842
85,1994,6.70789106927727
90,1994,14.7713076547027
95,1994,5.7247095473131
100,1994,15.9440243780014
105,1994,4.63073402302711
110,1994,12.2966361690051
115,1994,6.30204978126363
120,1994,15.6906356299822
125,1994,15.2841876755322
130,1994,24.4946563095305
135,1994,29.5202149309417
140,1994,36.2401719265102
145,1994,30.4158333589849
150,1994,50.7224657229474
155,1994,24.2558726759342
160,1994,49.0888824506509
165,1994,16.4959501812008
170,1994,43.9098578053966
175,1994,12.9607085092703
180,1994,30.4878666873663
185,1994,9.60452342016482
190,1994,20.4465135183432
195,1994,6.75647585232169
200,1994,20.1539552954295
205,1994,8.31589597035035
210,1994,12.673051820523
215,1994,4.75140610570585
220,1994,11.2316296774334
225,1994,5.86216689021501
230,1994,9.08874758850221
235,1994,5.26132350514449
240,1994,7.83285353801465
245,1994,5.89478121185604
250,1994,7.22297899313158
255,1994,3.56551919533689
260,1994,5.4455206963268
265,1994,4.54585189492772
270,1994,5.23663586517905
275,1994,2.41946264692702
280,1994,3.26819924764276
285,1994,1.44873818304108
290,1994,3.03189465667141
295,1994,2.13457597490336
300,1994,2.51209448852151
305,1994,0.748085931857794
310,1994,2.17449640871846
315,1994,0.799480616557447
320,1994,1.98320637093678
325,1994,0.341951603489232
330,1994,1.93844281343411
335,1994,1.25544127616196
340,1994,1.71894778461923
345,1994,0.684555290492789
350,1994,1.33215387085916
355,1994,0.546886645236393
360,1994,1.09846009573643
365,1994,0.30239728747083
370,1994,0.629506516840409
375,1994,0.56468160784394
380,1994,0.461325284985978
385,1994,0.272748755249864
390,1994,0.50402332346399
400,1994,0.475524074517948
405,1994,0.29844609759969
410,1994,0.394722108369971
415,1994,0.478325981114164
420,1994,0.354358188809371
425,1994,0
430,1994,0.348047178776612
435,1994,0.136374377624932
440,1994,0.372393002878659
445,1994,0.245095325864361
450,1994,0.0409058342661812
460,1994,0.326906994396723
470,1994,0.204529171330906
475,1994,0.136374377624932
480,1994,0.0952663083858956
485,1994,0.20162603599316
490,1994,0.0952663083858956
500,1994,0.280029829830509
505,1994,0.0755006584996033
510,1994,0.0409058342661812
520,1994,0.122717502798544
525,1994,0.105458057900955
530,1994,0.116406492765784
540,1994,0.122717502798544
550,1994,0.245435005597087
560,1994,0.20162603599316
570,1994,0.334390303950224
575,1994,0
580,1994,0.0952663083858956
590,1994,0.0818116685323624
600,1994,0.0818116685323624
610,1994,0.0409058342661812
625,1994,0
660,1994,0.105458057900955
675,1994,0
720,1994,0.0409058342661812
725,1994,0
770,1994,0.0409058342661812
775,1994,0
800,1994,0.136374377624932
825,1994,0
875,1994,0
925,1994,0
25,1995,0
45,1995,0.553064789864399
50,1995,1.49400945670971
55,1995,1.81297421469906
60,1995,5.87982014027977
65,1995,14.7573740668515
70,1995,23.3487546675891
75,1995,34.2264474980722
80,1995,43.2971473748107
85,1995,42.4626102474349
90,1995,46.283342287274
95,1995,38.9648791267922
100,1995,41.6787272580791
105,1995,20.12126781575
110,1995,17.4130329024491
115,1995,15.901902486591
120,1995,13.3351962430088
125,1995,17.2163188058837
130,1995,27.3557923152944
135,1995,21.2819715565434
140,1995,30.7636486631062
145,1995,30.3731258939891
150,1995,37.6089130821453
155,1995,37.3329702196051
160,1995,42.3917354154777
165,1995,40.7856488547199
170,1995,40.5691507023824
175,1995,32.6823371414257
180,1995,41.7562858139807
185,1995,31.8073277692655
190,1995,33.8128048841888
195,1995,28.4947879704346
200,1995,25.7422671287478
205,1995,21.3733598793713
210,1995,22.6157724032022
215,1995,19.5173918293148
220,1995,18.0845943868319
225,1995,14.3681173265398
230,1995,13.2917434803169
235,1995,13.3403637248918
240,1995,13.9333837239209
245,1995,9.00858271902554
250,1995,8.37307133482418
255,1995,8.13946371157666
260,1995,6.67313655302937
265,1995,4.21718528566975
270,1995,7.5118731947068
275,1995,4.5833760048127
280,1995,4.5956754438163
