"","year","shelf_biomass","slope_biomass","total_biomass","var_shelf","stdev_shelf","var_slope","stdev_slope","var_tot","stdev_tot"
"1",1994,33.4868321489785,49.9266332390538,35.3692255694849,4.99959612429726,2.23597766632345,87.7763152280096,9.36890149526665,5.07102876561479,2.25189448367697
"2",1995,50.426596768494,33.7123986987932,48.5127842896775,10.391938928195,3.22365304091414,67.7546113270555,8.23131892998051,9.03669936525953,3.00611033817116
"3",1996,36.2654107860544,29.980487877044,35.545773275388,4.9175039809731,2.21754458376221,16.8126765990592,4.10032640152698,4.07627297171845,2.01897819991164
"4",1997,30.0379239159086,31.3998450898376,30.1938668888805,4.62475123428634,2.15052347912929,20.0759216949854,4.48061621822104,3.88950728817095,1.97218338096916
"5",1998,21.1228393552476,15.280317227435,20.4538577080671,2.26806005776209,1.50600798728363,9.37683673601265,3.06216210152445,1.90133769681752,1.37889002346725
"6",1999,24.5292139342379,20.9110458659889,24.1149257242625,6.022461844317,2.4540704644156,12.7121761584791,3.56541388319492,4.88891679634469,2.21108950437215
"7",2000,17.8955384237956,19.9425723730176,18.129928317959,2.39972375547563,1.54910417838041,8.04320325310171,2.83605416963458,1.98709109757823,1.40964218778321
"8",2001,16.579904793349,16.1542381990686,16.531165031109,1.24899706473128,1.11758537245764,9.98630389820507,3.16011137433557,1.1102745062973,1.05369564215541
"9",2002,22.8463838409131,13.7491546828567,21.804731072845,2.56658699456993,1.60205711339201,5.42966661083771,2.33016450295633,2.08366418656209,1.44349027934451
"10",2003,17.1587573369455,15.6173163554455,16.982258950756,1.34234465562395,1.15859598464001,8.05269697976646,2.83772743225393,1.15811790012507,1.07615886379524
"11",2004,26.2027842719458,15.4365691134141,24.9700289321983,3.5538481365237,1.88516528095647,12.717420946411,3.56614931633702,2.95332987358047,1.71852549401528
"12",2005,38.4150038103227,35.9556450439743,38.1334018167782,8.85010961274028,2.97491337903144,30.7055077802152,5.54125507265414,7.34199951739078,2.70961242936896
"13",2006,32.203048791326,31.3092484435214,32.1007066836122,3.15831813516456,1.77716575905698,17.2995569455195,4.15927360791755,2.70326754637308,1.64416165457448
"14",2007,27.2962521521751,24.152849713089,26.9363256520357,2.75720367939804,1.66048296570547,20.4749009091424,4.52491998925312,2.43038230841612,1.55896834747089
"15",2008,33.277471362782,28.7442419674054,32.7584066161498,4.98110680805086,2.23183933293839,32.7285830303012,5.72089005577814,4.33481388939492,2.08202158715872
"16",2009,29.3156779829858,26.6610013219827,29.0117116604698,3.40474355048253,1.84519471885287,15.0312893495607,3.87702067953741,2.86675258061319,1.6931487178075
"17",2010,16.6994443809863,22.7815022435964,17.3958533971896,2.34198875372577,1.53035576050988,6.29889036665764,2.50975902561534,1.9189514585479,1.38526223457795
"18",2011,14.1582684686351,17.016905646486,14.4855887193923,0.866437488965685,0.930826239942603,6.68584871655415,2.58570081729386,0.767035656766088,0.875805718619197
"19",2012,18.7942646460333,21.011938795572,19.0481932188334,2.34299092856765,1.53068315747174,14.5243362715398,3.81108072225449,2.02757906962312,1.4239308514191
"20",2013,22.3860573294036,33.7946948615461,23.6923714453581,3.12781546284791,1.76856310683218,14.8502700573757,3.85360481333721,2.64723820894636,1.62703356110019
"21",2014,20.5580883078437,30.5394653487438,21.7009779551356,1.75800682386842,1.32589849681958,15.023374154719,3.87599976196065,1.57543208104754,1.25516217320613
"22",2015,10.5898067654985,30.4545628017728,12.8643650681061,0.603947747954864,0.777140751701302,9.81497980139399,3.13288681592457,0.602241052328931,0.776041914028444
"23",2016,17.4809525589503,30.9827818527619,19.0269417402194,1.19056980288936,1.0911323489336,19.8518887757366,4.4555458448698,1.19380657756463,1.09261456038469
"24",2017,29.5419985812425,30.3732765235639,29.6371817358722,2.70472219543502,1.6446039630972,26.6220794095443,5.15965884623628,2.46982538986463,1.57156781268408
