"year";"haul_number";"strata";"sqkm";"length_class";"nblonraise";"st"
1994;1;"B";0.04569269034;165;1;21.8853386079696
1994;1;"B";0.04569269034;155;1;21.8853386079696
1994;1;"B";0.04569269034;130;1;21.8853386079696
1994;1;"B";0.04569269034;150;1;21.8853386079696
1994;1;"B";0.04569269034;120;1;21.8853386079696
1994;10;"D";0.08717591088;NA;NA;NA
1994;11;"C";0.04781181211;145;3;62.7460007811028
1994;11;"C";0.04781181211;170;2;41.8306671874019
1994;11;"C";0.04781181211;115;2;41.8306671874019
1994;11;"C";0.04781181211;175;2;41.8306671874019
1994;11;"C";0.04781181211;135;1;20.9153335937009
1994;11;"C";0.04781181211;135;4;83.6613343748037
1994;11;"C";0.04781181211;155;6;125.492001562206
1994;11;"C";0.04781181211;140;1;20.9153335937009
1994;11;"C";0.04781181211;165;1;20.9153335937009
1994;11;"C";0.04781181211;160;2;41.8306671874019
1994;11;"C";0.04781181211;165;2;41.8306671874019
1994;11;"C";0.04781181211;130;1;20.9153335937009
1994;11;"C";0.04781181211;200;1;20.9153335937009
1994;11;"C";0.04781181211;145;6;125.492001562206
1994;11;"C";0.04781181211;130;1;20.9153335937009
1994;11;"C";0.04781181211;160;1;20.9153335937009
1994;11;"C";0.04781181211;130;3;62.7460007811028
1994;11;"C";0.04781181211;155;4;83.6613343748037
1994;11;"C";0.04781181211;145;1;20.9153335937009
1994;11;"C";0.04781181211;140;1;20.9153335937009
1994;11;"C";0.04781181211;140;2;41.8306671874019
1994;11;"C";0.04781181211;150;9;188.238002343308
1994;11;"C";0.04781181211;150;2;41.8306671874019
1994;11;"C";0.04781181211;180;1;20.9153335937009
1994;12;"C";0.0458355684;165;3;65.4513537133315
1994;12;"C";0.0458355684;125;3;65.4513537133315
1994;12;"C";0.0458355684;130;1;21.8171179044438
1994;12;"C";0.0458355684;140;2;43.6342358088877
1994;12;"C";0.0458355684;145;2;43.6342358088877
1994;12;"C";0.0458355684;160;3;65.4513537133315
1994;12;"C";0.0458355684;140;7;152.719825331107
1994;12;"C";0.0458355684;145;4;87.2684716177753
1994;12;"C";0.0458355684;150;2;43.6342358088877
1994;12;"C";0.0458355684;155;4;87.2684716177753
1994;12;"C";0.0458355684;215;1;21.8171179044438
