"","year","shelf_biomass","slope_biomass","total_biomass","var_shelf","stdev_shelf","var_slope","stdev_slope","var_tot","stdev_tot"
"1",1994,42.1463130858265,7.67630254882463,33.5496870048051,28.4551191873756,5.33433399660872,7.58738850840633,2.75452146631794,16.5037824233087,4.06248475976325
"2",1995,9.14383120032811,0.949860080248362,7.10030104931758,5.30154519574717,2.30250845725856,0.366150196886468,0.605103459655015,3.0097110336597,1.73485187657612
"3",1996,10.6827528578329,5.21815061552125,9.31991190052492,4.02042020484015,2.00509855240089,2.42632625699706,1.5576669274903,2.41605179081699,1.55436539810206
"4",1997,8.07650346784698,3.19820733592811,6.85988394539042,2.37498594912975,1.54109894203122,0.611584887247589,0.782038929496217,1.37612713977974,1.17308445551876
"5",1998,13.1197157936154,3.61383438099949,10.7490026199983,5.43053680539085,2.330351219321,0.734828034166495,0.857221111596358,3.10531690219283,1.76219093806342
"6",1999,1.23664676266788,1.72686184913899,1.35890363848589,0.159298971411238,0.39912275230966,0.223601030754418,0.472864706606888,0.103657882671718,0.321959442588221
"7",2000,12.416654168865,4.34471835292777,10.4035589339469,2.37004359215283,1.53949458984202,1.57761975825514,1.25603334281186,1.43342756940244,1.19725835532789
"8",2001,5.90922855847187,2.87489524153846,5.15248295484459,0.816979630056558,0.90386925495702,0.460055428089711,0.678273859211536,0.488907857843573,0.699219463290012
"9",2002,7.77215756001958,4.23543908270307,6.8901199328279,2.65167477946975,1.62839638278576,3.43119775957144,1.85234925420976,1.70738906874252,1.30667098718175
"10",2003,6.17561763688088,3.00667893949885,5.38530221107533,0.656298974341705,0.810122814356999,1.29731099358752,1.13899560736094,0.450454197736004,0.671158846873081
"11",2004,2.63098991230345,1.23946566310742,2.28395161824284,0.417525585349489,0.646162197400536,0.36680070371919,0.605640738160166,0.258051705888192,0.507987899352133
"12",2005,4.30807152865021,4.14777030186232,4.26809330742091,1.45691806477232,1.20702860975717,2.15956613578281,1.469546234653,0.955160217795345,0.977322985402137
"13",2006,7.54343872141434,0.234684861655528,5.7206767590087,2.35812788669342,1.53561970770547,0.0473312962861757,0.217557570050264,1.33153397048051,1.15392112836212
"14",2007,2.1739650660358,0.523971560119086,1.7624659981358,0.487671158688691,0.69833456071477,0.0860769993148774,0.293388819341974,0.280112016294186,0.529256097077952
"15",2008,8.97307622012043,0.625643052176552,6.89127350050423,1.99481457153315,1.41237904669149,0.371286045960031,0.609332459302827,1.14698922973879,1.0709758306044
"16",2009,18.4179900667162,3.10379903210592,14.5987172551644,8.60639535968997,2.93366585685725,0.37223104717972,0.610107406265258,4.87207102081594,2.20727683375148
"17",2010,7.89450755162848,3.8677797923084,6.89026437509144,1.77392165519688,1.33188650237056,1.44985744622889,1.20410026419269,1.08962070261043,1.04384898458083
"18",2011,7.7136420833436,2.51572930009745,6.41731197194541,3.67668836530063,1.91746926058819,0.452882017401497,0.672965093746694,2.0996468497676,1.44901582108947
"19",2012,5.26948123344184,2.41929959923055,4.55866202014316,0.832613340241158,0.912476487500449,0.989006692377865,0.994488155976664,0.530615498223905,0.728433592185248
"20",2013,4.8262821523465,3.3992348133036,4.47038460016851,0.582278726620368,0.763071901343752,1.26689998171223,1.12556651589865,0.406859046094848,0.637855035329226
"21",2014,5.29120903642148,2.7754931946367,4.66380370404682,1.76587531365151,1.32886241336397,0.658399884282516,0.811418439698357,1.03586060552151,1.01777237411983
"22",2015,4.73645502999843,1.42818386078995,3.91139087210443,0.904266796568381,0.950929438269939,0.295636174538024,0.543724355292297,0.527859744545969,0.726539568465454
"23",2016,2.59311815479265,1.55118790835763,2.33326663193067,0.473219594461153,0.687909583056634,0.155818655336403,0.394738717807619,0.2763076371387,0.525649728563328
"24",2017,1.92976285900755,0.0602877192655771,1.4635263103742,0.723199313401981,0.850411261332998,0.00323564810337918,0.0568827575226375,0.407658130359185,0.638481111983107
