"","year","shelf_biomass","slope_biomass","total_biomass","var_shelf","stdev_shelf","var_slope","stdev_slope","var_tot","stdev_tot"
"1",1994,3.53123156331901,NA,3.24744576245576,0.220109727356924,0.4691585311565,0,0,0.186153263019343,0.431454821527518
"2",1995,0.585248823352,NA,0.538215570771102,0.0152791220871044,0.123608745997621,0,0,0.0129220024336917,0.113674985963015
"3",1996,1.29130111029971,NA,1.18752629033362,0.394172817656301,0.627831838676807,0,0,0.333363532277078,0.577376421649757
"4",1997,5.56074398891908,NA,5.11385735517828,9.10468070946994,3.01739634610204,0,0,7.700095961996,2.77490467619989
"5",1998,0.0857738100719885,NA,0.0788806372658718,0.00212511883978911,0.0460990112669362,0,0,0.00179727543657864,0.0423942854236116
"6",1999,4.12897126776775,NA,3.79714839040779,0.627686570903334,0.7922667296456,0,0,0.530852973787947,0.72859657821592
"7",2000,0.99702257909397,NA,0.916897317973742,0.187798068627284,0.433356745219552,0,0,0.158826343948945,0.398530229655097
"8",2001,4.69736646398976,NA,4.31986476804361,4.28168000615711,2.06922207753472,0,0,3.62114257248773,1.90292999673864
"9",2002,1.1344485093103,NA,1.04327907649911,0.31185726438783,0.558441818265636,0,0,0.263746850533065,0.513562898322168
"10",2003,0.702643634408714,NA,0.646176001817459,0.231501582710576,0.481146113681255,0,0,0.195787689772722,0.442479027494775
"11",2004,0.672146023419685,NA,0.618129317312221,0.104090648703312,0.322630824167982,0,0,0.0880325196827882,0.296702746335096
"12",2005,0.58264831715284,NA,0.535824053056879,0.110374083174448,0.332225951988173,0,0,0.0933466048157613,0.305526766120026
"13",2006,1.39586153413223,NA,1.28368376378357,0.140787157529023,0.375216147745567,0,0,0.119067835301743,0.345062074563032
"14",2007,0.473873933894435,NA,0.435791273092645,0.0186361265020742,0.136514198902803,0,0,0.0157611196927105,0.125543298079629
"15",2008,0.533791088737725,NA,0.490893213337925,0.104557571441628,0.323353632176334,0,0,0.0884274099602841,0.297367466210216
"16",2009,1.65071180219185,NA,1.51805310723526,0.127218723501402,0.356677338082198,0,0,0.107592612018183,0.328013127813786
"17",2010,0.243731875725305,NA,0.224144475604878,0.0171943791496132,0.131127339443814,0,0,0.0145417915997049,0.120589351104087
"18",2011,0.242681274801306,NA,0.223178305741052,0.0225401934275075,0.150133918311311,0,0,0.0190629037889527,0.13806847500046
"19",2012,0.083684084986449,NA,0.076958851975939,0.00211435606955428,0.0459821277188679,0,0,0.00178817304559212,0.0422867951681387
"20",2013,0.336690446809807,NA,0.309632473868173,0.00740045199851831,0.0860258798183332,0,0,0.00625877967268702,0.0791124495429576
"21",2014,6.69621835305056,NA,6.15807984414758,1.49139499473852,1.22122684000088,0,0,1.26131656267557,1.12308350654596
"22",2015,0.342101741962011,NA,0.314608892773681,0.0220662527489681,0.148547139820893,0,0,0.0186620782332305,0.136609217233796
"23",2016,2.83339511138588,NA,2.60569061610466,0.274087757472299,0.523533912437675,0,0,0.231804068905988,0.481460350294796
"24",2017,4.63290122557224,NA,4.26058024886925,1.00896684494485,1.00447341674374,0,0,0.853312903160555,0.923749372481819
